id,Staff_ID,Owner_ID,Occur_Date,Issue_Type,Specific_Problem
TI00000086,T000000092,U000001622,2020-09-03,Top-up issue,Cannot access app
TI00000087,T000000014,U000000977,2020-08-17,Top-up issue,Fill box disappear
TI00000088,T000000070,U000000972,2021-04-14,Registration issue,Lagging
TI00000089,T000000096,U000001415,2020-03-22,Top-up issue,Lack of stable
TI00000090,T000000054,U000001373,2021-10-10,Withdraw issue,Cannot access app
TI00000091,T000000050,U000001085,2020-11-06,Withdraw issue,Don't stable
TI00000092,T000000100,U000001997,2021-09-03,Registration issue,Fill box disappear
TI00000093,T000000004,U000000247,2019-09-26,Transfer issue,Fill box disappear
TI00000094,T000000087,U000000502,2021-01-03,Registration issue,Fill box disappear
TI00000095,T000000033,U000000632,2019-10-31,Registration issue,Why I press the buttom
TI00000096,T000000091,U000000890,2019-10-30,Transfer issue,Lagging
TI00000097,T000000029,U000000475,2021-05-08,Transfer issue,Cannot access app
TI00000098,T000000097,U000000167,2020-06-23,Withdraw issue,Lagging
TI00000099,T000000057,U000000505,2021-11-02,Registration issue,Application lagging
TI00000100,T000000050,U000001513,2021-09-18,Top-up issue,Don't stable
